,Provincias,Ramas de actividad,Magnitud,periodo,Total
0,02 Albacete,TOTAL PERSONAS,Empleo total (miles de personas),2021,"150,2"
1,02 Albacete,TOTAL PERSONAS,Empleo total (miles de personas),2018,"148,3"
2,03 Alicante/Alacant,TOTAL PERSONAS,Empleo total (miles de personas),2021,"686,9"
3,03 Alicante/Alacant,TOTAL PERSONAS,Empleo total (miles de personas),2018,"670,4"
4,04 Almería,TOTAL PERSONAS,Empleo total (miles de personas),2021,"287,3"
5,04 Almería,TOTAL PERSONAS,Empleo total (miles de personas),2018,"280,8"
6,01 Araba/Álava,TOTAL PERSONAS,Empleo total (miles de personas),2021,"161,9"
7,01 Araba/Álava,TOTAL PERSONAS,Empleo total (miles de personas),2018,"161,9"
8,33 Asturias,TOTAL PERSONAS,Empleo total (miles de personas),2021,"387,0"
9,33 Asturias,TOTAL PERSONAS,Empleo total (miles de personas),2018,"394,4"
10,05 Ávila,TOTAL PERSONAS,Empleo total (miles de personas),2021,"59,2"
11,05 Ávila,TOTAL PERSONAS,Empleo total (miles de personas),2018,"56,5"
12,06 Badajoz,TOTAL PERSONAS,Empleo total (miles de personas),2021,"240,1"
13,06 Badajoz,TOTAL PERSONAS,Empleo total (miles de personas),2018,"238,9"
14,"07 Balears, Illes",TOTAL PERSONAS,Empleo total (miles de personas),2021,"493,1"
15,"07 Balears, Illes",TOTAL PERSONAS,Empleo total (miles de personas),2018,"513,6"
16,08 Barcelona,TOTAL PERSONAS,Empleo total (miles de personas),2021,"2695,2"
17,08 Barcelona,TOTAL PERSONAS,Empleo total (miles de personas),2018,"2676,9"
18,48 Bizkaia,TOTAL PERSONAS,Empleo total (miles de personas),2021,"511,6"
19,48 Bizkaia,TOTAL PERSONAS,Empleo total (miles de personas),2018,"522,8"
20,09 Burgos,TOTAL PERSONAS,Empleo total (miles de personas),2021,"159,9"
21,09 Burgos,TOTAL PERSONAS,Empleo total (miles de personas),2018,"160,2"
22,10 Cáceres,TOTAL PERSONAS,Empleo total (miles de personas),2021,"139,2"
23,10 Cáceres,TOTAL PERSONAS,Empleo total (miles de personas),2018,"138,3"
24,11 Cádiz,TOTAL PERSONAS,Empleo total (miles de personas),2021,"405,2"
25,11 Cádiz,TOTAL PERSONAS,Empleo total (miles de personas),2018,"393,7"
26,39 Cantabria,TOTAL PERSONAS,Empleo total (miles de personas),2021,"227,2"
27,39 Cantabria,TOTAL PERSONAS,Empleo total (miles de personas),2018,"227,7"
28,12 Castellón/Castelló,TOTAL PERSONAS,Empleo total (miles de personas),2021,"250,7"
29,12 Castellón/Castelló,TOTAL PERSONAS,Empleo total (miles de personas),2018,"247,3"
30,13 Ciudad Real,TOTAL PERSONAS,Empleo total (miles de personas),2021,"184,9"
31,13 Ciudad Real,TOTAL PERSONAS,Empleo total (miles de personas),2018,"183,7"
32,14 Córdoba,TOTAL PERSONAS,Empleo total (miles de personas),2021,"275,8"
33,14 Córdoba,TOTAL PERSONAS,Empleo total (miles de personas),2018,"281,7"
34,"15 Coruña, A",TOTAL PERSONAS,Empleo total (miles de personas),2021,"457,4"
35,"15 Coruña, A",TOTAL PERSONAS,Empleo total (miles de personas),2018,"459,4"
36,16 Cuenca,TOTAL PERSONAS,Empleo total (miles de personas),2021,"80,8"
37,16 Cuenca,TOTAL PERSONAS,Empleo total (miles de personas),2018,"78,5"
38,20 Gipuzkoa,TOTAL PERSONAS,Empleo total (miles de personas),2021,"351,2"
39,20 Gipuzkoa,TOTAL PERSONAS,Empleo total (miles de personas),2018,"352,3"
40,17 Girona,TOTAL PERSONAS,Empleo total (miles de personas),2021,"334,4"
41,17 Girona,TOTAL PERSONAS,Empleo total (miles de personas),2018,"332,0"
42,18 Granada,TOTAL PERSONAS,Empleo total (miles de personas),2021,"322,3"
43,18 Granada,TOTAL PERSONAS,Empleo total (miles de personas),2018,"322,2"
44,19 Guadalajara,TOTAL PERSONAS,Empleo total (miles de personas),2021,"88,8"
45,19 Guadalajara,TOTAL PERSONAS,Empleo total (miles de personas),2018,"86,7"
46,21 Huelva,TOTAL PERSONAS,Empleo total (miles de personas),2021,"180,6"
47,21 Huelva,TOTAL PERSONAS,Empleo total (miles de personas),2018,"183,9"
48,22 Huesca,TOTAL PERSONAS,Empleo total (miles de personas),2021,"100,6"
49,22 Huesca,TOTAL PERSONAS,Empleo total (miles de personas),2018,"99,3"
50,23 Jaén,TOTAL PERSONAS,Empleo total (miles de personas),2021,"212,1"
51,23 Jaén,TOTAL PERSONAS,Empleo total (miles de personas),2018,"216,2"
52,24 León,TOTAL PERSONAS,Empleo total (miles de personas),2021,"168,3"
53,24 León,TOTAL PERSONAS,Empleo total (miles de personas),2018,"171,9"
54,25 Lleida,TOTAL PERSONAS,Empleo total (miles de personas),2021,"207,9"
55,25 Lleida,TOTAL PERSONAS,Empleo total (miles de personas),2018,"197,4"
56,27 Lugo,TOTAL PERSONAS,Empleo total (miles de personas),2021,"128,2"
57,27 Lugo,TOTAL PERSONAS,Empleo total (miles de personas),2018,"132,1"
58,28 Madrid,TOTAL PERSONAS,Empleo total (miles de personas),2021,"3514,4"
59,28 Madrid,TOTAL PERSONAS,Empleo total (miles de personas),2018,"3427,4"
60,29 Málaga,TOTAL PERSONAS,Empleo total (miles de personas),2021,"615,8"
61,29 Málaga,TOTAL PERSONAS,Empleo total (miles de personas),2018,"610,7"
62,30 Murcia,TOTAL PERSONAS,Empleo total (miles de personas),2021,"620,8"
63,30 Murcia,TOTAL PERSONAS,Empleo total (miles de personas),2018,"613,8"
64,31 Navarra,TOTAL PERSONAS,Empleo total (miles de personas),2021,"302,7"
65,31 Navarra,TOTAL PERSONAS,Empleo total (miles de personas),2018,"306,1"
66,32 Ourense,TOTAL PERSONAS,Empleo total (miles de personas),2021,"110,8"
67,32 Ourense,TOTAL PERSONAS,Empleo total (miles de personas),2018,"110,5"
68,34 Palencia,TOTAL PERSONAS,Empleo total (miles de personas),2021,"65,7"
69,34 Palencia,TOTAL PERSONAS,Empleo total (miles de personas),2018,"68,2"
70,"35 Palmas, Las",TOTAL PERSONAS,Empleo total (miles de personas),2021,"422,2"
71,"35 Palmas, Las",TOTAL PERSONAS,Empleo total (miles de personas),2018,"427,7"
72,36 Pontevedra,TOTAL PERSONAS,Empleo total (miles de personas),2021,"371,7"
73,36 Pontevedra,TOTAL PERSONAS,Empleo total (miles de personas),2018,"372,4"
74,"26 Rioja, La",TOTAL PERSONAS,Empleo total (miles de personas),2021,"138,2"
75,"26 Rioja, La",TOTAL PERSONAS,Empleo total (miles de personas),2018,"137,6"
76,37 Salamanca,TOTAL PERSONAS,Empleo total (miles de personas),2021,"129,4"
77,37 Salamanca,TOTAL PERSONAS,Empleo total (miles de personas),2018,"131,1"
78,38 Santa Cruz de Tenerife,TOTAL PERSONAS,Empleo total (miles de personas),2021,"386,7"
79,38 Santa Cruz de Tenerife,TOTAL PERSONAS,Empleo total (miles de personas),2018,"398,5"
80,40 Segovia,TOTAL PERSONAS,Empleo total (miles de personas),2021,"64,5"
81,40 Segovia,TOTAL PERSONAS,Empleo total (miles de personas),2018,"63,2"
82,41 Sevilla,TOTAL PERSONAS,Empleo total (miles de personas),2021,"726,8"
83,41 Sevilla,TOTAL PERSONAS,Empleo total (miles de personas),2018,"708,7"
84,42 Soria,TOTAL PERSONAS,Empleo total (miles de personas),2021,"41,0"
85,42 Soria,TOTAL PERSONAS,Empleo total (miles de personas),2018,"41,4"
86,43 Tarragona,TOTAL PERSONAS,Empleo total (miles de personas),2021,"324,9"
87,43 Tarragona,TOTAL PERSONAS,Empleo total (miles de personas),2018,"333,4"
88,44 Teruel,TOTAL PERSONAS,Empleo total (miles de personas),2021,"56,7"
89,44 Teruel,TOTAL PERSONAS,Empleo total (miles de personas),2018,"56,1"
90,45 Toledo,TOTAL PERSONAS,Empleo total (miles de personas),2021,"234,5"
91,45 Toledo,TOTAL PERSONAS,Empleo total (miles de personas),2018,"229,6"
92,46 Valencia/València,TOTAL PERSONAS,Empleo total (miles de personas),2021,"1038,1"
93,46 Valencia/València,TOTAL PERSONAS,Empleo total (miles de personas),2018,"1023,0"
94,47 Valladolid,TOTAL PERSONAS,Empleo total (miles de personas),2021,"235,0"
95,47 Valladolid,TOTAL PERSONAS,Empleo total (miles de personas),2018,"239,4"
96,49 Zamora,TOTAL PERSONAS,Empleo total (miles de personas),2021,"60,6"
97,49 Zamora,TOTAL PERSONAS,Empleo total (miles de personas),2018,"61,1"
98,50 Zaragoza,TOTAL PERSONAS,Empleo total (miles de personas),2021,"444,9"
99,50 Zaragoza,TOTAL PERSONAS,Empleo total (miles de personas),2018,"447,8"
100,51 Ceuta,TOTAL PERSONAS,Empleo total (miles de personas),2021,"31,7"
101,51 Ceuta,TOTAL PERSONAS,Empleo total (miles de personas),2018,"31,2"
102,52 Melilla,TOTAL PERSONAS,Empleo total (miles de personas),2021,"31,0"
103,52 Melilla,TOTAL PERSONAS,Empleo total (miles de personas),2018,"29,8"
