,Provincias,Ramas de actividad,periodo,Total
0,02 Albacete,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,8663814
1,02 Albacete,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,7855556
2,03 Alicante/Alacant,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,37279735
3,03 Alicante/Alacant,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,33979911
4,04 Almería,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,15659622
5,04 Almería,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,14607070
6,01 Araba/Álava,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,12939983
7,01 Araba/Álava,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,11731451
8,33 Asturias,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,23549659
9,33 Asturias,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,21319148
10,05 Ávila,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,3300110
11,05 Ávila,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,3076404
12,06 Badajoz,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,12723211
13,06 Badajoz,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,11638254
14,"07 Balears, Illes",PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,30031668
15,"07 Balears, Illes",PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,26198090
16,08 Barcelona,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,173721885
17,08 Barcelona,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,160180344
18,48 Bizkaia,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,35446900
19,48 Bizkaia,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,32929019
20,09 Burgos,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,10276704
21,09 Burgos,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,9571028
22,10 Cáceres,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,7926526
23,10 Cáceres,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,7201986
24,11 Cádiz,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,22635742
25,11 Cádiz,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,20253717
26,39 Cantabria,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,14022067
27,39 Cantabria,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,12852323
28,12 Castellón/Castelló,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,16147043
29,12 Castellón/Castelló,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,14226621
30,13 Ciudad Real,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,10832838
31,13 Ciudad Real,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,9995769
32,14 Córdoba,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,14616131
33,14 Córdoba,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,13007297
34,"15 Coruña, A",PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,27347965
35,"15 Coruña, A",PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,25361458
36,16 Cuenca,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,4594001
37,16 Cuenca,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,4195214
38,20 Gipuzkoa,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,23839000
39,20 Gipuzkoa,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,21835162
40,17 Girona,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,21355174
41,17 Girona,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,19520752
42,18 Granada,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,17140505
43,18 Granada,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,15802260
44,19 Guadalajara,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,5502747
45,19 Guadalajara,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,5047876
46,21 Huelva,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,10763135
47,21 Huelva,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,9243502
48,22 Huesca,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,6802388
49,22 Huesca,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,6277103
50,23 Jaén,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,11754569
51,23 Jaén,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,10675734
52,24 León,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,10224642
53,24 León,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,9304383
54,25 Lleida,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,12558913
55,25 Lleida,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,11521909
56,27 Lugo,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,7395362
57,27 Lugo,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,6891215
58,28 Madrid,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,237540292
59,28 Madrid,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,219030504
60,29 Málaga,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,30776021
61,29 Málaga,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,28160097
62,30 Murcia,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,32719230
63,30 Murcia,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,29775480
64,31 Navarra,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,20518471
65,31 Navarra,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,18937439
66,32 Ourense,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,7104228
67,32 Ourense,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,6384529
68,34 Palencia,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,4303764
69,34 Palencia,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,4029182
70,"35 Palmas, Las",PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,22056871
71,"35 Palmas, Las",PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,19692679
72,36 Pontevedra,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,21988329
73,36 Pontevedra,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,20025926
74,"26 Rioja, La",PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,8619779
75,"26 Rioja, La",PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,8105603
76,37 Salamanca,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,7289859
77,37 Salamanca,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,6622699
78,38 Santa Cruz de Tenerife,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,20786249
79,38 Santa Cruz de Tenerife,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,18937445
80,40 Segovia,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,3460982
81,40 Segovia,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,3179622
82,41 Sevilla,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,40657710
83,41 Sevilla,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,37029412
84,42 Soria,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,2531565
85,42 Soria,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,2285159
86,43 Tarragona,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,24421364
87,43 Tarragona,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,21388438
88,44 Teruel,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,3460089
89,44 Teruel,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,3098690
90,45 Toledo,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,13258842
91,45 Toledo,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,12252188
92,46 Valencia/València,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,61410589
93,46 Valencia/València,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,56547166
94,47 Valladolid,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,14293892
95,47 Valladolid,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,13541411
96,49 Zamora,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,3582273
97,49 Zamora,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,3226677
98,50 Zaragoza,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,27896994
99,50 Zaragoza,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,26145786
100,51 Ceuta,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,1765159
101,51 Ceuta,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,1655168
102,52 Melilla,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,1616543
103,52 Melilla,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,1514009
